postal_codes,coordinates
T2V 1M4," 50.967013,-114.084990"
T2V 2G9," 50.989524,-114.074253"
T2T 4L7," 51.013395,-114.101767"
T2G 1M1," 51.036103,-114.038056"
T3H 5Y7," 51.044200,-114.216072"
T3K 5R2," 51.171544,-114.046531"
T3J 3X7," 51.121845,-113.965654"
T2Y 4Z4," 50.908350,-114.124899"
T2W 2T6," 50.952986,-114.086731"
T3L 2M1," 51.118802,-114.261290"
T2N 1Z8," 51.055203,-114.094886"
T2C 0S9," 50.988974,-114.008638"
T3E 6S4," 51.012788,-114.162763"
T3L 2M2," 51.132739,-114.239522"
T2Z 5B3," 50.916939,-113.916353"
T2Z 0M9," 50.922932,-113.964139"
T3M 1N7," 50.904309,-113.923056"
T2Z 2J4," 50.943580,-114.008417"
T3M 0R9," 50.892676,-113.960322"
T2S 3B6," 51.031187,-114.062424"
T3N 0Y6," 51.16284,-113.958402"
T2X 0P5," 50.871520,-114.035911"
T2X 2A6," 50.867983,-114.033966"
T2Y 2V4," 50.922125,-114.088415"
T2G 5S8," 51.040758,-114.020471"
T2B 3V2," 51.016308,-113.980777"
T2N 4H1," 51.073093,-114.133841"
T3E 6A6," 50.995778,-114.134675"
T2Z 5C9," 50.914381,-113.919086"
T2P 1P1," 51.053352,-114.067690"
T3K 1N2," 51.130623,-114.066406"
T3H 2W9," 51.017288,-114.180759"
T3A 5S8," 51.146478,-114.126795"
T2W 1K1," 50.948113,-114.075587"
T2M 4V2," 51.081630,-114.068707"
T3G 0G8," 51.143104,-114.230622"
T1Y 5N7," 51.092397,-113.938410"
T2J 3C2," 50.933993,-114.045700"
T3R 1L6," 51.155438,-114.127635"
T3L 2B1," 51.124145,-114.215137"
T3P 0R7," 51.182219,-114.104044"
T2M 2R9," 51.060400,-114.065192"
T3K 0K8," 51.164296,-114.090914"
T3C 3J7," 51.053177,-114.155443"
T2X 0J3," 50.887796,-114.080654"
T2S 0X1," 51.019540,-114.070252"
T3M 0R3," 50.899889,-113.956376"
T3G 5A3," 51.137345,-114.201242"
T3P 0G7," 51.176052,-114.114471"
T3C 3X6," 51.043041,-114.136273"
T3H 3T1," 51.024838,-114.178554"
T2A 6M2," 51.055757,-113.931872"
T3H 2B5," 51.025767,-114.165927"
T3H 1L2," 51.046121,-114.167183"
T3A 5W3," 51.151461,-114.121145"
T2T 5H5," 51.034751,-114.115945"
T3E 5B8," 51.011431,-114.156113"
T2E 3W8," 51.057837,-114.050386"
T3L 0C6," 51.110885,-114.254562"
T2E 3W3," 51.059309,-114.051518"
T2Z 0B3," 50.923302,-113.963169"
T2W 1C5," 50.951945,-114.102048"
T3J 0N4," 51.125783,-113.933864"
T2W 2P2," 50.935104,-114.083123"
T2P 1J3," 51.048009,-114.087792"
T3A 6C8," 51.149006,-114.128294"
T2T 2A9," 51.023307,-114.096414"
