postal_code,walk_score,bike_score,transit_score
T2V 1M4,58,61,55
T2V 2G9,57,75,57
T2T 4L7,38,82,38
T2G 1M1,64,78,49
T3H 5Y7,65,89,40
T3K 5R2,12,48,31
T3J 3X7,14,55,57
T2Y 4Z4,16,42,33
T2W 2T6,49,74,55
T3L 2M1,4,49,22
T2N 1Z8,85,10,63
T2C 0S9,48,53,44
T3E 6S4,51,64,44
T3L 2M2,21,58,54
T2Z 5B3,1,51,29
T2Z 0M9,49,75,41
T3M 1N7,7,61,28
T2Z 2J4,16,65,39
T3M 0R9,13,36,34
T2S 3B6,55,86,58
T3N 0Y6,0,26,18
T2X 0P5,16,34,40
T2X 2A6,12,45,38
T2Y 2V4,19,60,45
T2G 5S8,39,88,53
T2B 3V2,22,42,42
T2N 4H1,45,89,64
T3E 6A6,19,80,36
T2Z 5C9,2,42,28
T2P 1P1,83,88,78
T3K 1N2,41,65,53
T3H 2W9,51,72,46
T3A 5S8,5,27,37
T2W 1K1,34,66,57
T2M 4V2,34,85,51
T3G 0G8,35,70,37
T1Y 5N7,36,71,42
T2J 3C2,26,73,34
T3R 1L6,41,57,39
T3L 2B1,46,71,56
T3P 0R7,14,47,32
T2M 2R9,73,73,56
T3K 0K8,68,67,53
T3C 3J7,33,84,41
T2X 0J3,17,64,35
T2S 0X1,11,83,54
T3M 0R3,31,54,38
T3G 5A3,13,50,34
T3P 0G7,23,60,33
T3C 3X6,18,51,51
T3H 3T1,46,59,45
T2A 6M2,36,60,46
T3H 2B5,38,72,44
T3H 1L2,28,70,48
T3A 5W3,3,45,39
T2T 5H5,34,80,58
T3E 5B8,40,48,48
T2E 3W8,79,78,54
T3L 0C6,5,53,22
T2E 3W3,81,82,57
T2Z 0B3,42,75,41
T2W 1C5,30,61,35
T3J 0N4,32,51,23
T2W 2P2,24,36,51
T2P 1J3,94,94,78
T3A 6C8,6,24,38
T2T 2A9,54,80,42
T3M 1H4,15,67,36
T3H 4W7,30,70,33
T3H 0A8,21,51,28
T3P 0B8,36,58,35
T2A 4E3,50,50,49
T2T 1S6,53,80,44
T3H 3N6,1,23,38
T3G 4G3,23,65,38
T2X 4C8,6,45,25
T2T 4A4,54,81,42
T2L 1T7,56,70,44
T3G 4W1,23,62,31
T2B 0K6,18,76,39
T3A 6C3,38,53,35
T3A 2V9,59,91,44
T2T 2T6,36,75,43
T3B 4W4,27,81,48
T2E 1C3,82,84,54
T3A 6A3,17,54,32
T3L 2W3,18,46,28
T2N 4Y7,47,81,65
T2E 6H1,49,72,39
T2J 3Z7,20,69,48
T1Y 4M7,67,77,61
O0O 0O0,0,4,N/A
T2A 6H4,27,61,44
T3M 1X4,8,55,34
T2J 6B7,11,60,32
T3M 0T5,40,73,38
T2J 6N3,51,63,32
T3K 5C9,42,64,43
T3A 6J8,15,38,39
T3P 0G1,0,33,0
T3H 0S5,11,71,56
T2W 2M6,25,34,52
T3G 5Z6,14,64,31
T2T 0H1,93,86,66
T3M 2L6,30,73,38
T2J 5L7,5,63,26
T2X 0W5,3,56,N/A
T3H 4K7,25,72,54
T3M 1E7,21,66,36
T3L 0A3,20,65,34
T2T 1C4,60,84,46
T3E 6H5,31,77,37
T1Y 2Z7,56,76,50
T3H 3V2,9,56,36
T3K 4R9,37,71,48
T2E 4H1,69,97,53
T2R 0K3,94,95,75
T3E 5Y7,12,53,37
T3K 5S8,3,37,27
T2Z 0B8,17,48,44
T3H 3J9,40,80,37
T2N 1E4,36,84,59
T2P 4Z9,91,95,77
T3G 6A9,51,71,36
T3C 2L1,61,82,60
T2E 4R7,60,83,53
T2N 0K4,51,90,53
T1Y 4V2,41,72,46
T2J 0T3,63,63,50
T2X 3R3,16,46,28
T2A 6G8,68,67,58
T2L 2L5,66,86,65
T2X 1K9,18,62,41
T3C 1B2,40,86,48
T2J 1A8,43,66,30
T2T 3B4,31,67,44
T3N 0T9,7,41,33
T2Z 2T2,18,65,34
T3C 0X9,87,89,60
T2J 0B8,44,69,31
T2Y 5J7,53,74,35
T3A 4W3,53,90,58
T2V 4G4,17,69,28
T3G 4C9,40,54,34
T2T 4S4,50,78,50
T3E 1V9,50,81,55
T2K 2H8,30,72,44
T3M 2N4,3,43,22
T2N 3R7,53,90,54
T3H 4T9,36,75,56
T3H 4N1,16,49,49
T3R 0M7,19,50,37
T2Y 5A5,14,46,25
T2G 0C7,82,90,75
T2K 2C3,35,75,45
T2E 0K9,79,91,64
T3G 1Z3,57,73,47
T2X 2C8,3,24,N/A
T2B 2N9,35,57,47
T3E 8A9,35,68,47
T2H 1C2,46,80,48
T3M 0L1,8,42,37
T3P 1J4,0,30,0
T3H 4S1,51,77,38
T3M 3B1,8,55,34
T3B 4Y6,22,55,41
T2Y 0B8,7,61,32
T3J 1A9,41,66,44
T3C 2R3,39,79,37
T2Z 1B6,55,78,42
T3K 2M7,53,69,51
T1Y 3S5,67,77,50
T2L 1X4,37,68,41
T3J 3V6,17,60,45
T3J 5N3,3,55,30
T2J 1J5,61,75,55
T3H 1E5,40,63,37
T2N 2K4,68,76,61
T3H 4L7,36,75,35
T2J 7G4,41,72,53
T2C 1S3,42,71,40
T2T 4A9,41,80,39
T3B 6A1,1,39,19
T2V 0V8,61,77,62
T3K 4T9,59,64,52
T2K 5H5,20,43,53
T3B 4N3,21,78,34
T3K 4N4,34,70,46
T2G 0B5,87,94,76
T3J 0A1,37,72,56
T3G 2T7,12,55,37
T2N 3E1,92,99,75
T3G 1V6,41,65,37
T2V 2L4,57,89,62
T3N 1T2,0,26,18
T2J 1R7,22,60,29
T3H 1G4,18,80,38
T3H 0K9,11,71,56
T2K 0X9,37,82,52
T2R 1A7,95,96,71
T1Y 3A5,51,80,44
T2C 4C4,40,68,39
T2Y 3C3,37,63,59
T2P 5E2,86,96,76
T2S 1Z5,37,69,50
T2P 0V2,94,94,78
